closed_left;closed_right;norm_eye_area_left;norm_eye_area_right
closed;closed;2.4767993381631856;2.8389423223332595
closed;closed;2.4329053987130886;2.678784135817071
closed;closed;2.455910032887407;2.8630740646555823
closed;closed;2.718232348696921;2.9224188162046714
closed;closed;2.6497976670627286;2.84368530123805
closed;closed;2.6885751938977926;3.192683042753629
closed;closed;2.5867356012148153;3.0394143314274076
closed;closed;2.920026529268212;3.3259494997046004
closed;closed;2.669685152422231;2.8172879372917294
closed;closed;2.958103351475572;3.5458487772054346
closed;closed;2.684988781604538;3.2594214776689703
closed;closed;3.00339579647501;3.35635897768468
closed;closed;2.7775332040930163;3.213352231433138
closed;closed;2.925224885307419;3.2112468740930336
closed;closed;2.6373646815522176;3.351921614977695
closed;closed;2.639202896521805;2.912223885817164
closed;closed;2.1765956974831173;2.363899184803623
closed;closed;2.281675410539787;2.6522038960120597
closed;closed;2.2194820480312196;2.4813678354095345
closed;closed;2.6843293206277288;3.2211951847532743
closed;closed;2.4882246385832936;2.84368530123805
closed;closed;2.4543215579928326;2.9193509058230536
closed;closed;2.5983888488199187;2.9296834270444583
closed;closed;2.498007453374269;2.7998232639361986
closed;closed;2.406761792773808;3.057237952982945
closed;closed;2.455910032887407;2.9212403549081785
closed;closed;2.484905482975354;2.910889280056843
closed;closed;2.5851684556709547;2.875999906933937
closed;closed;2.4866152627032645;2.9193509058230536
closed;closed;2.5044290663649487;2.908990684777748
closed;closed;2.51245022647161;2.9193509058230536
closed;closed;2.4478628170507464;3.009773279012263
closed;closed;2.5140763231400034;2.84368530123805
closed;closed;2.6532432174256946;2.797370009483387
closed;closed;2.6497976670627286;3.0375729354133716
closed;closed;2.4573988211540745;2.767807093299852
closed;closed;2.600753261225139;3.056687783563373
closed;closed;2.6001998980510392;2.9967303825038227
closed;closed;2.4653046471926303;2.927142720941118
closed;closed;2.53841487848594;2.863852683420035
closed;closed;2.4882246385832936;2.84368530123805
closed;closed;2.748406576290741;3.065281687439556
closed;closed;2.4882246385832936;2.7661302475679213
closed;closed;2.4882246385832936;2.84368530123805
closed;closed;2.4897330161692595;2.8454091613362964
closed;closed;2.5701824661397685;2.8079243442576973
closed;closed;2.5644499028806678;2.863852683420035
closed;closed;2.284573390637346;2.863852683420035
closed;closed;2.6239459825060187;2.84368530123805
closed;closed;2.4738006236595274;2.7693716072656005
closed;closed;2.5983888488199187;2.9166914828003585
closed;closed;2.648083786255425;2.958103351475572
closed;closed;2.358966215799746;2.7855190109854537
closed;closed;2.4882246385832936;2.9212403549081785
closed;closed;0.9433753661958025;0.8647607523461524
closed;closed;1.0417493861510831;1.0352788930693995
closed;closed;1.402773615075007;1.6780843245757093
closed;closed;1.770381658841476;2.16090702476239
closed;closed;1.8031549978304908;2.00350555314499
closed;closed;2.0427091415508567;2.40280209919604
closed;closed;2.0685141894650565;2.3872475079675337
closed;closed;2.391280821495633;2.5334650865575354
closed;closed;2.3654291369389235;2.6239459825060187
closed;closed;2.2831713223340717;2.7840379656951075
closed;closed;2.4012072448826056;2.8003179858576437
closed;closed;2.620445782046737;2.956069379747304
closed;closed;2.648083786255425;2.8353872735759302
closed;closed;2.6239459825060187;2.779056089846276
closed;closed;1.3478920191645487;1.539535434211641
closed;closed;1.2402666416737675;1.2776616157945846
closed;closed;1.1630075659282453;1.1951348467549925
closed;closed;1.5270363672773641;1.5399773534407317
closed;closed;1.8958544729333378;1.915265952178389
closed;closed;1.64671529296652;1.8615042442230227
closed;closed;1.7823046789730361;2.3547236999570766
closed;closed;2.0860421669969536;2.295280439066557
closed;closed;2.2387906062625764;2.6270201911636013
closed;closed;2.0616718433975865;2.358966215799746
closed;closed;2.1671048905555566;2.5271978482007396
closed;closed;2.036161996866399;2.40280209919604
